tb1,tb1 href,tb2,tb3,tb4,tb5,tb6
South Africa,https://www.worldeconomics.com/ESG/Environment/Temperatures/South%20Africa.aspx,17.6°,18.1°,18.4°,18.7°,19.0°
Morocco,https://www.worldeconomics.com/ESG/Environment/Temperatures/Morocco.aspx,17.6°,18.0°,18.4°,18.7°,19.2°
Turkmenistan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Turkmenistan.aspx,15.8°,16.4°,16.9°,17.2°,17.3°
Portugal,https://www.worldeconomics.com/ESG/Environment/Temperatures/Portugal.aspx,15.2°,15.8°,16.1°,16.5°,16.9°
Argentina,https://www.worldeconomics.com/ESG/Environment/Temperatures/Argentina.aspx,14.9°,15.1°,15.2°,15.4°,15.6°
Lebanon,https://www.worldeconomics.com/ESG/Environment/Temperatures/Lebanon.aspx,14.6°,15.1°,15.6°,15.9°,16.4°
Greece,https://www.worldeconomics.com/ESG/Environment/Temperatures/Greece.aspx,13.9°,14.2°,14.7°,15.2°,16.1°
Nepal,https://www.worldeconomics.com/ESG/Environment/Temperatures/Nepal.aspx,13.7°,13.9°,14.3°,14.3°,14.5°
Spain,https://www.worldeconomics.com/ESG/Environment/Temperatures/Spain.aspx,13.3°,13.9°,14.3°,14.7°,15.1°
Uzbekistan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Uzbekistan.aspx,12.8°,13.6°,14.1°,14.4°,14.6°
Afghanistan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Afghanistan.aspx,12.7°,13.3°,13.8°,14.0°,14.2°
Italy,https://www.worldeconomics.com/ESG/Environment/Temperatures/Italy.aspx,12.5°,13.0°,13.6°,14.0°,14.6°
Azerbaijan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Azerbaijan.aspx,12.3°,12.8°,13.3°,13.7°,13.9°
Albania,https://www.worldeconomics.com/ESG/Environment/Temperatures/Albania.aspx,11.9°,12.3°,12.9°,13.3°,14.3°
Lesotho,https://www.worldeconomics.com/ESG/Environment/Temperatures/Lesotho.aspx,11.7°,12.3°,12.6°,12.9°,13.2°
"Korea, Rep.",https://www.worldeconomics.com/ESG/Environment/Temperatures/Korea.aspx,11.4°,12.1°,12.4°,12.8°,13.6°
Türkiye,https://www.worldeconomics.com/ESG/Environment/Temperatures/Turkiye.aspx,11.2°,11.5°,12.1°,12.5°,13.2°
Croatia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Croatia.aspx,11.0°,11.7°,12.3°,12.9°,13.8°
Japan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Japan.aspx,10.9°,11.6°,12.1°,12.4°,13.1°
France,https://www.worldeconomics.com/ESG/Environment/Temperatures/France.aspx,10.8°,11.4°,11.9°,12.4°,12.7°
Bulgaria,https://www.worldeconomics.com/ESG/Environment/Temperatures/Bulgaria.aspx,10.7°,11.1°,11.8°,12.3°,13.2°
Hungary,https://www.worldeconomics.com/ESG/Environment/Temperatures/Hungary.aspx,10.7°,11.3°,12.0°,12.5°,13.5°
Serbia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Serbia.aspx,10.7°,11.2°,11.9°,12.4°,13.4°
North Macedonia,https://www.worldeconomics.com/ESG/Environment/Temperatures/North%20Macedonia.aspx,10.2°,10.6°,11.2°,11.6°,12.6°
New Zealand,https://www.worldeconomics.com/ESG/Environment/Temperatures/New%20Zealand.aspx,10.1°,10.5°,10.7°,10.9°,10.9°
Moldova,https://www.worldeconomics.com/ESG/Environment/Temperatures/Moldova.aspx,10.1°,10.6°,11.3°,11.9°,12.9°
Bhutan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Bhutan.aspx,10.0°,10.2°,10.4°,10.5°,10.8°
Belgium,https://www.worldeconomics.com/ESG/Environment/Temperatures/Belgium.aspx,9.9°,10.4°,11.0°,11.4°,11.8°
Netherlands,https://www.worldeconomics.com/ESG/Environment/Temperatures/Netherlands.aspx,9.7°,10.2°,10.8°,11.3°,11.8°
Bosnia and Herzegovina,https://www.worldeconomics.com/ESG/Environment/Temperatures/Bosnia%20and%20Herzegovina.aspx,9.5°,10.1°,10.7°,11.2°,12.2°
Romania,https://www.worldeconomics.com/ESG/Environment/Temperatures/Romania.aspx,9.5°,9.9°,10.6°,11.2°,12.3°
Ireland,https://www.worldeconomics.com/ESG/Environment/Temperatures/Ireland.aspx,9.4°,9.7°,9.9°,10.1°,10.3°
Luxembourg,https://www.worldeconomics.com/ESG/Environment/Temperatures/Luxembourg.aspx,9.2°,9.8°,10.3°,10.8°,11.1°
Chile,https://www.worldeconomics.com/ESG/Environment/Temperatures/Chile.aspx,9.2°,9.3°,9.5°,9.7°,9.7°
United States,https://www.worldeconomics.com/ESG/Environment/Temperatures/United%20States.aspx,8.9°,9.3°,9.7°,10.1°,10.7°
Slovenia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Slovenia.aspx,8.9°,9.6°,10.2°,10.8°,11.7°
Germany,https://www.worldeconomics.com/ESG/Environment/Temperatures/Germany.aspx,8.8°,9.4°,9.9°,10.5°,11.2°
United Kingdom,https://www.worldeconomics.com/ESG/Environment/Temperatures/United%20Kingdom.aspx,8.7°,9.1°,9.5°,9.7°,9.9°
Georgia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Georgia.aspx,8.5°,8.9°,9.5°,9.9°,10.3°
Ukraine,https://www.worldeconomics.com/ESG/Environment/Temperatures/Ukraine.aspx,8.4°,9.0°,9.7°,10.2°,11.2°
Slovak Republic,https://www.worldeconomics.com/ESG/Environment/Temperatures/Slovak%20Republic.aspx,8.2°,8.8°,9.4°,10.0°,11.1°
Denmark,https://www.worldeconomics.com/ESG/Environment/Temperatures/Denmark.aspx,8.1°,8.6°,9.2°,9.6°,10.0°
Poland,https://www.worldeconomics.com/ESG/Environment/Temperatures/Poland.aspx,8.1°,8.6°,9.2°,9.8°,10.9°
Czechia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Czechia.aspx,7.7°,8.4°,9.0°,9.6°,10.6°
Armenia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Armenia.aspx,7.3°,7.7°,8.2°,8.6°,8.9°
China,https://www.worldeconomics.com/ESG/Environment/Temperatures/China.aspx,7.0°,7.4°,7.8°,8.1°,8.5°
Belarus,https://www.worldeconomics.com/ESG/Environment/Temperatures/Belarus.aspx,6.5°,7.2°,7.8°,8.3°,9.3°
Austria,https://www.worldeconomics.com/ESG/Environment/Temperatures/Austria.aspx,6.5°,7.2°,7.8°,8.3°,9.3°
Lithuania,https://www.worldeconomics.com/ESG/Environment/Temperatures/Lithuania.aspx,6.5°,7.1°,7.7°,8.3°,9.2°
Kazakhstan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Kazakhstan.aspx,6.2°,6.9°,7.5°,7.7°,7.9°
Latvia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Latvia.aspx,6.0°,6.6°,7.2°,7.7°,8.5°
Switzerland,https://www.worldeconomics.com/ESG/Environment/Temperatures/Switzerland.aspx,5.6°,6.3°,6.8°,7.4°,7.8°
Estonia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Estonia.aspx,5.4°,6.0°,6.6°,7.0°,7.6°
Tajikistan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Tajikistan.aspx,3.3°,3.9°,4.4°,4.7°,5.0°
Sweden,https://www.worldeconomics.com/ESG/Environment/Temperatures/Sweden.aspx,2.5°,2.9°,3.5°,3.8°,4.2°
Kyrgyzstan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Kyrgyzstan.aspx,1.8°,2.5°,3.1°,3.4°,3.5°
Finland,https://www.worldeconomics.com/ESG/Environment/Temperatures/Finland.aspx,1.7°,2.2°,2.8°,3.2°,3.6°
Norway,https://www.worldeconomics.com/ESG/Environment/Temperatures/Norway.aspx,1.5°,2.0°,2.5°,2.7°,3.1°
Iceland,https://www.worldeconomics.com/ESG/Environment/Temperatures/Iceland.aspx,1.4°,1.6°,2.0°,2.1°,1.2°
Mongolia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Mongolia.aspx,0.0°,0.8°,1.3°,1.8°,2.4°
Taiwan,https://www.worldeconomics.com/ESG/Environment/Temperatures/Taiwan.aspx,0.0°,0.0°,0.0°,0.0°,0.0°
Canada,https://www.worldeconomics.com/ESG/Environment/Temperatures/Canada.aspx,-4.8°,-4.2°,-3.9°,-3.8°,-3.0°
Russia,https://www.worldeconomics.com/ESG/Environment/Temperatures/Russia.aspx,-4.8°,-4.1°,-3.5°,-3.0°,-2.6°
